id,type,text1,text2,text3
pn_pexplauncher,WEAPON,"Though sporting an impressive guidance package, this is almost all that fit inside the tiny frame of the missile.",Assault,
pn_sike_mpod,WEAPON,"Inspired of the common annihilator pod, the tiny rockets work as chaff to keep enemy point defences occupied.",Support,
pn_lrmissile,WEAPON,"This probe launcher is normally used to send durable exploration drones into hostile environments for analysis and surveying. However, being fitted onto a dedicated carrier with an auto-factory the drones can just as easily be filled with explosives as they can be filled with a sesor package.",Support,
pn_t3cannon-support,WEAPON,"A shorter, higher caliber T3-cannon with a modified burst-fire loader, this gun forgoes any hint of accuracy for volume of fire.",Support,
pn_t3cannon,WEAPON,"While unusually short and slow charging, the gun can launch the proximity fused P9 plasma sabot at remarkable speeds.",Assault,
pn_burstmauler,WEAPON,"A relatively simple gun design, the spherical projectiles are molded from abundant but unstable P9 reactor contaminants, which detonates violently upon impact.",Assault,
pn_vulcan,WEAPON,"A common vulcan cannon fitted with magnetic ejector rails, this is the most common P9 point defence system for smaller P9 vessels.",Support,
pn_empvulcan,WEAPON,"A common vulcan cannon fitted with magnetic ejector rails and a small EMP charged round, this specialized gun is most commonly found integrated into the P9 Stress fighters.",Support,
pn_double-vulcan,WEAPON,"Two common vulcan cannons fitted with magnetic ejector rails, this is the most common P9 point defence system for larger P9 vessels.",Support,
pn_vaala,WEAPON,"A very high powered P9 burst-laser commissioned and designed by the A.A.L.A defence bureau. Fitted with internal frequency modulators, making it excellent against shields.",Assault,
pn_taala,WEAPON,"Based on the the very earliest Tachyon Lance prototypes, the A.A.L.A defence bureau have successfuly minuturized the small Tachyon projectors, but their small size make them unable to project the beam very far.",Support,
pn_raala,WEAPON,"A brand new heavy weapon commissioned and designed by the A.A.L.A. defence bureau, the Raala is custom made to be fitted onto the Spore MkIII heavy assault fighter.",Assault,
pn_saala,WEAPON,"A smaller version of the Vaala, the A.A.L.A defence bureau have packed the small turret dense with capacitors. This allows comparatively more energy to be routed to the beam generators than could be expected by the size.",Assault,
pn_heavyburst,WEAPON,"A more power hungry and potent version of the common heavy burst laser, this weapon can swat missiles, fighters and even light frigates with ease.",Support,
pn_ivp,WEAPON,"Designed for Coup de grace, the iV-Type plasma projectile dissipates quickly against shields or armor, but will savage any unprotected hull.",Assault,
pn_hil,WEAPON,"A High Intensity Laser with reinforced power conduits that allow for more power to be routed to both the beam generator and the turret controls.",Support,
pn_jetlauncher,WEAPON,"The Jet Launcher is a strike weapon with a smaller modular missile, this leads to a much smaller payload and fuel amount compared to bigger missiles. However, the smaller size and the very simple modular construction allows the the easy restocking of spent ammo.",Assault,
pn_skscannon,WEAPON,"This small sized weapon churns out a steady stream of highly unstable and irradiating projectiles made from spent P9 reactor casings.",Assault,
pn_skvcannon,WEAPON,"This medium sized weapon churns out a steady stream of highly unstable and irradiating projectiles made from spent P9 reactor casings.",Assault,
pn_sktcannon,WEAPON,"This massive weapon churns out a steady stream of highly unstable and irradiating projectiles made from spent P9 reactor casings.",Assault,
pn_dsilaser,WEAPON,"This enormous laser was designed by the A.A.L.A defence bureau for one purpose and one purpose only, to overload shield defences by delivering disruptive energy modulatios to enemy shield generators, forcing them into instant overloads. The energy modulation is however not completely reliable, a feature the A.A.L.A. bureau is a diligently working to rectify. From where the computer power comes that is required to calculate the precice adjustments required to force a shield generator into premature overload is still being investigated by the Hegemony.",Assault,
pn_autoioncannon,WEAPON,"A rotary version of the common ion cannon with a considerably higher fire rate and flux use.",Assault,
pn_sike,SHIP,"Designed and comissioned by the A.A.L.A defence bureau without any input from other parts of the P9 colony group organizational structure. This frigate lacks normal engines, instead relying on a P9 reactor powered M-drive that decrease it's mass and curves space around it. All crews undergo screening for cell changes twice per day and prolonged exposure to the fully activated core during combat is prone to cause accute radiation poisining of the crew. This effectively restricting peak performance time severely.",,
pn_cimex,SHIP,"A research and logistics vessel capable of launching various long range survey probes, this ship can easily reconfigure it's on-board auto-factory for more warlike purposes.",,
pn_sike-m,SHIP,"Also designed and comissioned by the A.A.L.A defence bureau, this version of the Sike has greatly enhanced defensive capabilities at the cost of firepower and weapon flexibility. As with the Sike, crews undergo screening for cell changes twice per day and prolonged exposure to the fully activated core during combat is prone to cause accute radiation poisining of the crew. This effectively restricting peak performance time severely.",,
pn_rs,SHIP,"A support-ship equipped with a P9 patented EMP drone designed by the powerful A.A.L.A defence bureau, a mostly defensive ship that can be fitted for most supportive roles.",,
pn_mite,SHIP,"A simple ship with a simple purpose, this the Mite is a small scale shipping vessel designed by the P9 colony group for safe hauling of cargo. Though fast for a common freighter the ship itself is not very manuverable nor does it have armament to scare off hostiles. However, these minor details matters litte as the raw speed and good shield coverage is enough to make this cargo ship an exceptionally elusive target for any would be pirate.",,
pn_mite-s,SHIP,"A simple ship with a simple purpose, this the Mite is a small scale shipping vessel designed by the P9 colony group for safe hauling of fuel. Though fast for a common freighter the ship itself is not very manuverable nor does it have armament to scare off hostiles. However, these minor details matters litte as the raw speed and good shield coverage is enough to make this cargo ship an exceptionally elusive target for any would be pirate. As tanking and unloading fuel safely requires specialized pumping and hull modifications to not get damaged by proximity to P9 reactors this tanker version of the Mite has less room for extra crew and more armor.",,
pn_mlmv_tug,SHIP,"A mining vessel fitted with powerful thrusters, this ship can tow other slower ships, but should be kept away from combat.",,
pn_mlmv,SHIP,"A mining vessel fitted with powerful thrusters, this ship can tow other slower ships, but should be kept away from combat.",,
pn_crig,SHIP,"Though slightly faster and more costly to field, the P9 Repair Rig perform the same maintenance and repair tasks as any other Construction Rig.",,
pn_snz-gp,SHIP,"A mobile platform for vulcan point defence turrets, this is an excellent point defence frigate for larger ships.",,
pn_wolf,SHIP,"A technologically advanced frigate, the flexible Wolf is one of the few remaining standard hulls which still remains in service of the P9 Colony Group. Though the normal frigate-grade power core has been replaced with a powerful P9 reactor, the conversion to P9 reactor does put severe limits to the remaining powersystem and careful flux management remains a priority.",,
pn_buffalo,SHIP,"The go-to choice for medium cargo hauling in the Sector remains in use with the P9 Colony Group.

Though technically sporting a single small universal weapon emplacement and enough flux reserves to power a combat destroyer, the hull of the ship is still no more than a large engine with a tiny crew quarters section and cargo grapplers. A captain taking this ship out without a convoy rarely gets to make the same mistake twice. Incapable of anything resembling a combat maneuver, the lateral thrusters on Buffalo-class ships are designed to merely enable it to dock when (and if) it reaches its destination.

The ship engines are the greatest contributor to hull cost, which, while low, is still within the norms for a medium freighter. The greatest contributing factor to both its ubiquity and its continued service within the P9 Colony Group is the fact that the blueprint for this ship is usually hardcoded into every orbital shipyard's blueprint database.",,
pn_trundler,SHIP,"Cased in a self sealing nanite gel, this ship has an inverted Sike M-drive which allows it to briefly increase in mass and fling itself forward. This is the first prototype of a new ship type designed by the A.A.L.A defence bureau.",,
pn_sl-t1p,SHIP,"A common escort destroyer the SL-t1p was an early prototype for the failed SL-t1 project, but was deemed far too sluggish and weakly armed. The slow and sturdy hull did however suit perfectly fine as a point defence platform.",,
pn_sl-t2,SHIP,"A common P9 destroyer the SL-t2 is the second attempt to make heavy guns destroyer to P9 fleets. It's predecessor, the SL-t1, was deemed inadequate for this role, and all other roles, by the A.A.L.A defence bureau.",,
pn_sl-t3,SHIP,"An upgraded variant of the SL-t2, the SL-t3 is made to be a long range killer of larger ships, performs decently against smaller ships too.",,
pn_tick,SHIP,"While a step down in most areas compared to other common haulers, the Tick does have a massive travel drive and sports two flight decks, somewhat negating the low cargo capacity and lack of defences. However, the on-board sensor drones should provide enough of an early warning to prevent hostile ships to cause too much trouble.",,
